REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC_2020,RANKING,RANGOS,Población_2017,Población_2002,Población_1992,Macroregioes
MAULE,MOLINA,872.1999999999999,93.0,644.4,373.9,153,Medio bajo,45976.0,38163.0,35197.0,Zona Central
COQUIMBO,MONTE PATRIA,723.3000000000001,53.7,641.5999999999999,292.2,269,Medio bajo,30751.0,30247.0,28549.0,Zona Norte Chico
O'HIGGINS,MOSTAZAL,850.6,117.6,569.1,384.7,136,Medio,25343.0,21266.0,18143.0,Zona Central
BIOBÍO,MULCHÉN,773.9,117.6,597.5,378.9,145,Medio bajo,29627.0,29060.0,30024.0,Zona Sur
LOS RÍOS,MÁFIL,680.8,98.5,614.5,345.5,202,Medio bajo,7095.0,7147.0,7127.0,Zona Sur
BIOBÍO,NACIMIENTO,779.5999999999999,128.1,706.9,413.3,115,Medio,26315.0,25949.0,25908.0,Zona Sur
O'HIGGINS,NANCAGUA,871.1,74.2,695.6,355.6,183,Medio bajo,17833.0,15604.0,14316.0,Zona Central
MAGALLANES,NATALES,944.9,204.5,676.0,507.4,54,Medio alto,21477.0,18823.0,17155.0,Zona Austral
O'HIGGINS,NAVIDAD,722.0999999999999,29.3,606.6,234.3,320,Bajo,6641.0,5301.0,5380.0,Zona Central
BIOBÍO,NEGRETE,706.6,53.400000000000006,612.7,284.8,275,Bajo,9737.0,8588.0,8303.0,Zona Sur
BIOBÍO-ÑUBLE,NINHUE,403.3,27.5,662.2,194.3,336,Bajo,5213.0,5737.0,6390.0,Zona Sur
VALPARAÍSO,NOGALES,870.1,102.0,619.8000000000001,380.3,143,Medio bajo,22120.0,21621.0,18596.0,Zona Central
ARAUCANÍA,NUEVA IMPERIAL,675.6,67.4,660.5,311.0,240,Medio bajo,32510.0,29793.0,27731.0,Zona Sur
AYSÉN,O'HIGGINS,750.3,87.1,569.0,333.8,213,Medio bajo,625.0,457.0,308.0,Zona Austral
O'HIGGINS,OLIVAR,872.7,80.69999999999999,649.7,357.70000000000005,180,Medio bajo,13608.0,12189.0,10712.0,Zona Central
ANTOFAGASTA,OLLAGÜE,677.9,55.7,433.4,253.8,307,Bajo,321.0,286.0,433.0,Zona Norte Grande
VALPARAÍSO,OLMUÉ,741.4,88.7,581.9,336.9,209,Medio bajo,17516.0,13935.0,12576.0,Zona Central
LOS LAGOS,OSORNO,894.0,248.5,797.4,561.6999999999999,23,Medio alto,161460.0,145302.0,169713.0,Zona Sur
COQUIMBO,OVALLE,873.3,115.4,759.1,424.5,101,Medio,111272.0,98368.0,84787.0,Zona Norte Chico
RM,PADRE HURTADO,855.1,141.9,703.7,440.3,91,Medio,63250.0,38517.0,28796.0,Zona Central
ARAUCANÍA,PADRE LAS CASAS,655.6999999999999,77.7,614.1999999999999,315.2,234,Medio bajo,76126.0,58207.0,45756.0,Zona Sur
COQUIMBO,PAIHUANO,801.8,64.69999999999999,577.6,310.7,242,Medio bajo,4497.0,4205.0,3744.0,Zona Norte Chico
LOS RÍOS,PAILLACO,714.3000000000001,101.1,661.0,362.8,170,Medio bajo,20188.0,19107.0,18142.0,Zona Sur
RM,PAINE,868.1999999999999,115.4,731.6,418.5,109,Medio,72759.0,49498.0,37172.0,Zona Central
LOS LAGOS,PALENA,700.6,167.6,627.9,419.3,107,Medio,1711.0,1675.0,1886.0,Zona Sur
O'HIGGINS,PALMILLA,825.2,71.6,611.3,330.6,216,Medio bajo,12482.0,11163.0,10750.0,Zona Central
LOS RÍOS,PANGUIPULLI,548.5,103.3,677.0,337.2,208,Medio bajo,34539.0,32912.0,30053.0,Zona Sur
VALPARAÍSO,PANQUEHUE,829.0999999999999,95.2,706.0999999999999,382.0,140,Medio bajo,7273.0,6543.0,5961.0,Zona Central
VALPARAÍSO,PAPUDO,900.9,84.7,611.8,360.1,176,Medio bajo,6356.0,4535.0,3826.0,Zona Central
O'HIGGINS,PAREDONES,669.2,39.1,598.7,250.2,312,Bajo,6188.0,6656.0,6832.0,Zona Central
MAULE,PARRAL,790.6999999999999,144.2,683.6999999999999,427.2000000000001,99,Medio,41637.0,37698.0,37999.0,Zona Central
RM,PEDRO AGUIRRE CERDA,920.7,174.9,638.7,468.5,75,Medio,101174.0,114400.0,128459.0,Zona Central
MAULE,PELARCO,726.5,74.1,588.8,316.40000000000003,233,Medio bajo,8422.0,7270.0,7740.0,Zona Central
MAULE,PELLUHUE,674.6999999999999,58.4,611.9,289.0,273,Medio bajo,7571.0,6414.0,5471.0,Zona Central
BIOBÍO-ÑUBLE,PEMUCO,654.2,48.7,559.6,261.2,300,Bajo,8448.0,8788.0,8494.0,Zona Sur
MAULE,PENCAHUE,653.3,57.7,550.5,274.7,285,Bajo,8245.0,7984.0,7690.0,Zona Central
BIOBÍO,PENCO,905.2,154.29999999999998,664.3,452.7,81,Medio,47367.0,45849.0,40444.0,Zona Sur
O'HIGGINS,PERALILLO,860.5,76.6,610.1,342.6,204,Medio bajo,11007.0,9735.0,9017.0,Zona Central
ARAUCANÍA,PERQUENCO,661.2,51.7,600.8,273.9,288,Bajo,6905.0,6425.0,5853.0,Zona Sur
VALPARAÍSO,PETORCA,847.3000000000001,54.9,627.1999999999999,307.8,246,Medio bajo,9826.0,9475.0,9291.0,Zona Central
O'HIGGINS,PEUMO,827.8,96.7,639.2,371.3,158,Medio bajo,14313.0,13902.0,12762.0,Zona Central
RM,PEÑAFLOR,922.2,174.7,707.8,485.0,64,Medio,90201.0,66508.0,50018.0,Zona Central
RM,PEÑALOLÉN,929.8,215.6,742.1,529.9000000000001,43,Medio alto,241599.0,216040.0,178889.0,Zona Central
TARAPACÁ,PICA,787.0,77.39999999999999,571.9,326.6,220,Medio bajo,9296.0,3498.0,2332.0,Zona Norte Grande
O'HIGGINS,PICHIDEGUA,834.8,71.3,569.2,323.5,225,Medio bajo,19714.0,17581.0,16560.0,Zona Central
O'HIGGINS,PICHILEMU,864.5,120.0,703.7,417.9,111,Medio,16394.0,12151.0,10463.0,Zona Central
BIOBÍO-ÑUBLE,PINTO,589.1999999999999,69.6,616.5,293.5,264,Medio bajo,10827.0,9767.0,8874.0,Zona Sur
RM,PIRQUE,850.1,92.6,673.4,375.6,148,Medio bajo,26521.0,16448.0,11313.0,Zona Central
ARAUCANÍA,PITRUFQUÉN,767.8000000000001,78.8,701.7,348.8,195,Medio bajo,24837.0,21840.0,19643.0,Zona Sur
O'HIGGINS,PLACILLA,770.3,63.8,576.4,304.8,252,Medio bajo,8738.0,8179.0,7763.0,Zona Central
BIOBÍO-ÑUBLE,PORTEZUELO,540.8,42.3,616.0,241.5,316,Bajo,4862.0,5362.0,5904.0,Zona Sur
MAGALLANES,PORVENIR,924.3,170.7,613.3,459.2,77,Medio,6801.0,4891.0,5014.0,Zona Austral
TARAPACÁ,POZO ALMONTE,755.0,95.3,581.2,347.1,200,Medio bajo,15711.0,9407.0,6209.0,Zona Norte Grande
MAGALLANES,PRIMAVERA,632.5,196.2,613.9,423.9,103,Medio,1158.0,789.0,1479.0,Zona Austral
RM,PROVIDENCIA,984.7,776.4,878.0,875.6,1,Alto,142079.0,117020.0,106770.0,Zona Central
VALPARAÍSO,PUCHUNCAVÍ,703.5,104.2,590.4000000000001,351.1,190,Medio bajo,18546.0,12830.0,10025.0,Zona Central
ARAUCANÍA,PUCÓN,752.1,127.90000000000002,695.0,405.9,121,Medio,28523.0,20635.0,14097.0,Zona Sur
RM,PUDAHUEL,909.4,249.8,740.1,551.9,29,Medio alto,230293.0,195185.0,137861.0,Zona Central
RM,PUENTE ALTO,945.7,217.9,758.9,538.8,38,Medio alto,568106.0,491222.0,251283.0,Zona Central
LOS LAGOS,PUERTO MONTT,859.4000000000001,241.9,770.3,543.0,35,Medio alto,245902.0,174038.0,128811.0,Zona Sur
LOS LAGOS,PUERTO OCTAY,569.0,68.7,638.5,292.2,267,Medio bajo,8999.0,10171.0,10778.0,Zona Sur
LOS LAGOS,PUERTO VARAS,790.0,218.7,775.9000000000001,511.8,52,Medio alto,44578.0,32503.0,26102.0,Zona Sur
O'HIGGINS,PUMANQUE,701.5,51.2,571.2,273.8,289,Bajo,3421.0,3477.0,3732.0,Zona Central
COQUIMBO,PUNITAQUI,596.5,52.400000000000006,656.1,273.6,290,Bajo,10956.0,9553.0,8793.0,Zona Norte Chico
MAGALLANES,PUNTA ARENAS,953.8,272.6,758.1,581.9,18,Medio alto,131592.0,118241.0,113820.0,Zona Austral
LOS LAGOS,PUQUELDÓN,457.2,54.6,612.1,248.1,313,Bajo,3921.0,4124.0,4258.0,Zona Sur
LOS LAGOS,PURRANQUE,788.5,110.8,668.0,387.9,135,Medio,20369.0,20814.0,20129.0,Zona Sur
ARAUCANÍA,PURÉN,711.5,55.9,589.8,286.3,274,Medio bajo,11779.0,12965.0,13952.0,Zona Sur
VALPARAÍSO,PUTAENDO,851.8,65.60000000000001,617.1,325.5,222,Medio bajo,16754.0,14462.0,12757.0,Zona Central
ARICA Y PARINACOTA,PUTRE,506.3,65.0,534.0,260.0,302,Bajo,2765.0,1671.0,2417.0,Zona Norte Grande
LOS LAGOS,PUYEHUE,704.0,81.60000000000001,616.0,328.29999999999995,217,Medio bajo,11667.0,10829.0,10934.0,Zona Sur
LOS LAGOS,QUEILÉN,476.4,97.3,596.0999999999999,302.3,253,Medio bajo,5385.0,5145.0,4999.0,Zona Sur
LOS LAGOS,QUELLÓN,624.6,114.6,664.5,362.3,171,Medio bajo,27192.0,21556.0,15093.0,Zona Sur
LOS LAGOS,QUEMCHI,442.9,69.8,600.4000000000001,264.79999999999995,295,Bajo,8352.0,8553.0,8180.0,Zona Sur
BIOBÍO,QUILACO,645.9,61.2,583.3000000000001,284.7,277,Bajo,3988.0,3991.0,4407.0,Zona Sur
RM,QUILICURA,948.6,266.90000000000003,757.4,576.7,20,Medio alto,210410.0,126326.0,41124.0,Zona Central
BIOBÍO,QUILLECO,663.6999999999999,42.2,562.5,250.6,311,Bajo,9587.0,10327.0,10466.0,Zona Sur
VALPARAÍSO,QUILLOTA,899.3,194.4,767.5,512.0,51,Medio alto,90517.0,75542.0,66761.0,Zona Central
BIOBÍO-ÑUBLE,QUILLÓN,628.6,64.8,659.4,299.5,256,Medio bajo,17485.0,15023.0,14361.0,Zona Sur
VALPARAÍSO,QUILPUÉ,928.1,239.6,758.0,552.4,28,Medio alto,151708.0,128156.0,103563.0,Zona Central
LOS LAGOS,QUINCHAO,473.3,72.3,735.1,293.0,265,Medio bajo,8088.0,8932.0,9112.0,Zona Sur
O'HIGGINS,QUINTA DE TILCOCO,827.3000000000001,72.8,660.6999999999999,341.5,205,Medio bajo,13002.0,11328.0,10688.0,Zona Central
RM,QUINTA NORMAL,938.0,246.0,673.1,537.5,41,Medio alto,110026.0,103767.0,115977.0,Zona Central
VALPARAÍSO,QUINTERO,794.6999999999999,106.2,656.1,381.2,142,Medio bajo,31923.0,21015.0,17153.0,Zona Central
BIOBÍO-ÑUBLE,QUIRIHUE,731.6,41.1,696.3000000000001,275.7,284,Bajo,11594.0,11388.0,11101.0,Zona Sur
O'HIGGINS,RANCAGUA,915.1,241.1,782.3,556.8,26,Medio alto,241774.0,213850.0,187476.0,Zona Central
MAULE,RAUCO,767.9,62.8,595.7,306.20000000000005,250,Medio bajo,10484.0,8605.0,7689.0,Zona Central
RM,RECOLETA,902.3,231.1,746.3,537.9000000000001,39,Medio alto,157851.0,147279.0,162188.0,Zona Central
ARAUCANÍA,RENAICO,785.3,66.69999999999999,573.3000000000001,310.8,241,Medio bajo,10250.0,9206.0,9108.0,Zona Sur
RM,RENCA,939.5,172.8,673.4,478.2,68,Medio,147151.0,133513.0,129132.0,Zona Central
O'HIGGINS,RENGO,875.3,117.5,691.9,414.3,114,Medio,58825.0,50560.0,43148.0,Zona Central
O'HIGGINS,REQUÍNOA,891.5,88.8,627.3,367.6,162,Medio bajo,27968.0,21973.0,18996.0,Zona Central
MAULE,RETIRO,676.9,82.10000000000001,636.8000000000001,328.29999999999995,218,Medio bajo,19974.0,18327.0,19539.0,Zona Central
VALPARAÍSO,RINCONADA,865.0,113.6,644.8000000000001,398.7,126,Medio,10207.0,6722.0,5622.0,Zona Central
MAULE,ROMERAL,787.2,106.3,671.0,382.9,138,Medio bajo,15187.0,12474.0,11263.0,Zona Central
BIOBÍO-ÑUBLE,RÁNQUIL,713.9,40.9,593.9,258.7,304,Bajo,5755.0,5657.0,6162.0,Zona Sur
LOS RÍOS,RÍO BUENO,646.0,116.1,680.1,370.9,159,Medio bajo,31372.0,32903.0,32893.0,Zona Sur
MAULE,RÍO CLARO,796.2,56.1,577.7,295.5,262,Medio bajo,13906.0,12568.0,12490.0,Zona Central
COQUIMBO,RÍO HURTADO,716.3000000000001,33.099999999999994,552.5,235.8,318,Bajo,4278.0,4770.0,5133.0,Zona Norte Chico
AYSÉN,RÍO IBÁÑEZ,812.4,111.2,546.1,366.8,163,Medio bajo,2666.0,2458.0,2857.0,Zona Austral
LOS LAGOS,RÍO NEGRO,661.8000000000001,96.3,665.9000000000001,348.8,194,Medio bajo,14085.0,14732.0,15927.0,Zona Sur
MAGALLANES,RÍO VERDE,546.1,41.7,26.3,84.4,344,Bajo,617.0,278.0,311.0,Zona Austral
ARAUCANÍA,SAAVEDRA,337.4,28.3,574.2,176.4,340,Bajo,12450.0,13995.0,14258.0,Zona Sur
MAULE,SAGRADA FAMILIA,780.5,65.9,595.3000000000001,312.90000000000003,236,Medio bajo,18544.0,17381.0,16698.0,Zona Central
COQUIMBO,SALAMANCA,808.9,84.5,620.6,348.7,197,Medio bajo,29347.0,23034.0,22463.0,Zona Norte Chico
VALPARAÍSO,SAN ANTONIO,907.0,178.1,676.2,478.0,69,Medio,91350.0,86723.0,77785.0,Zona Central
RM,SAN BERNARDO,913.7,212.9,722.7,520.0,46,Medio alto,301313.0,246865.0,190078.0,Zona Central
BIOBÍO-ÑUBLE,SAN CARLOS,810.0,116.8,702.6,405.1,124,Medio,53024.0,50012.0,48221.0,Zona Sur
MAULE,SAN CLEMENTE,780.2,77.2,643.2,338.4,207,Medio bajo,43269.0,37481.0,36363.0,Zona Central
VALPARAÍSO,SAN ESTEBAN,868.9,125.0,555.6,392.2,131,Medio,18855.0,14191.0,12083.0,Zona Central
BIOBÍO-ÑUBLE,SAN FABIÁN,777.5999999999999,46.2,609.1,279.6,283,Bajo,4308.0,3522.0,3752.0,Zona Sur
VALPARAÍSO,SAN FELIPE,916.3,193.9,768.2,514.9,49,Medio alto,76844.0,63862.0,54281.0,Zona Central
O'HIGGINS,SAN FERNANDO,884.3,172.1,781.6999999999999,491.8,60,Medio alto,73973.0,63665.0,56003.0,Zona Central
MAGALLANES,SAN GREGORIO,685.1,56.4,640.5999999999999,291.4,270,Medio bajo,799.0,834.0,1251.0,Zona Austral
BIOBÍO-ÑUBLE,SAN IGNACIO,600.9,47.2,618.6,259.90000000000003,303,Bajo,16079.0,16084.0,16395.0,Zona Sur
MAULE,SAN JAVIER,762.9,105.1,678.9,379.0,144,Medio bajo,45547.0,37878.0,35395.0,Zona Central
RM,SAN JOAQUÍN,915.3,184.9,619.6,471.5,72,Medio,94492.0,96539.0,113140.0,Zona Central
RM,SAN JOSÉ DE MAIPO,685.5,118.2,641.3,373.2,155,Medio bajo,18189.0,12822.0,11421.0,Zona Central
LOS LAGOS,SAN JUAN DE LA COSTA,186.6,22.2,605.7,135.9,343,Bajo,7512.0,8782.0,9587.0,Zona Sur
RM,SAN MIGUEL,945.2,306.0,777.4,608.1,10,Medio alto,107954.0,77914.0,83227.0,Zona Central
BIOBÍO-ÑUBLE,SAN NICOLÁS,709.0,46.9,750.3,292.2,268,Medio bajo,11603.0,9596.0,9332.0,Zona Sur
LOS LAGOS,SAN PABLO,582.5,77.7,635.1999999999999,306.4,249,Medio bajo,10030.0,10137.0,11078.0,Zona Sur
RM,SAN PEDRO,548.9000000000001,57.2,561.9,260.29999999999995,301,Bajo,9726.0,8069.0,6762.0,Zona Central
ANTOFAGASTA,SAN PEDRO DE ATACAMA,726.8,94.1,626.1999999999999,349.9,192,Medio bajo,10996.0,4025.0,2670.0,Zona Norte Grande
BIOBÍO,SAN PEDRO DE LA PAZ,905.2,235.8,776.5999999999999,549.3,31,Medio alto,131808.0,79714.0,66465.0,Zona Sur
MAULE,SAN RAFAEL,791.1,60.1,551.3000000000001,297.0,260,Medio bajo,9191.0,7631.0,7052.0,Zona Central
RM,SAN RAMÓN,934.5,139.2,650.9000000000001,439.2,92,Medio,82900.0,94619.0,100592.0,Zona Central
BIOBÍO,SAN ROSENDO,720.0999999999999,280.9,619.5,500.4,58,Medio alto,3412.0,3971.0,4347.0,Zona Sur
O'HIGGINS,SAN VICENTE,888.2,132.70000000000002,694.9,434.3,96,Medio,46766.0,40108.0,34988.0,Zona Central
BIOBÍO,SANTA BÁRBARA,705.3000000000001,103.7,577.0,348.1,198,Medio bajo,13773.0,13073.0,11993.0,Zona Sur
O'HIGGINS,SANTA CRUZ,894.4,174.2,815.6999999999999,502.7000000000001,57,Medio alto,37855.0,32329.0,29005.0,Zona Central
BIOBÍO,SANTA JUANA,707.7,48.2,642.3,279.8,282,Bajo,13749.0,12708.0,11989.0,Zona Sur
VALPARAÍSO,SANTA MARÍA,867.1,89.7,599.9,359.9,177,Medio bajo,15241.0,12717.0,11462.0,Zona Central
RM,SANTIAGO,895.3,635.0,827.6,777.8000000000001,3,Alto,404495.0,214159.0,236453.0,Zona Central
VALPARAÍSO,SANTO DOMINGO,720.9,266.79999999999995,671.8,505.5,55,Medio alto,10900.0,7166.0,5987.0,Zona Central
ANTOFAGASTA,SIERRA GORDA,866.4,66.5,527.1,311.90000000000003,237,Medio bajo,10186.0,1234.0,1183.0,Zona Norte Grande
RM,TALAGANTE,880.5,148.9,794.9000000000001,470.6,73,Medio,74237.0,59549.0,44686.0,Zona Central
MAULE,TALCA,924.3,260.5,791.5,575.5,21,Medio alto,220357.0,201707.0,171812.0,Zona Central
BIOBÍO,TALCAHUANO,925.9,287.9,769.0,589.6,15,Medio alto,151749.0,163995.0,155937.0,Zona Sur
ANTOFAGASTA,TALTAL,816.9,130.39999999999998,559.4,390.6,134,Medio,13317.0,10307.0,10926.0,Zona Norte Grande
ARAUCANÍA,TEMUCO,887.2,299.5,793.9000000000001,595.3000000000001,14,Medio alto,282415.0,246349.0,198294.0,Zona Sur
MAULE,TENO,810.1,79.2,700.0,355.4,185,Medio bajo,28921.0,25367.0,23538.0,Zona Central
ARAUCANÍA,TEODORO SCHMIDT,498.1,38.8,605.1,227.0,325,Bajo,15045.0,15323.0,14325.0,Zona Sur
ATACAMA,TIERRA AMARILLA,709.8,92.0,536.0,327.1,219,Medio bajo,14019.0,12266.0,11269.0,Zona Norte Chico
RM,TILTIL,805.2,110.7,586.8,374.0,151,Medio bajo,19312.0,14603.0,12647.0,Zona Central
MAGALLANES,TIMAUKEL,634.1,65.8,1.0,34.7,345,Bajo,405.0,377.0,251.0,Zona Austral
BIOBÍO,TIRÚA,476.2,41.9,590.1999999999999,227.5,324,Bajo,10417.0,9646.0,8663.0,Zona Sur
ANTOFAGASTA,TOCOPILLA,868.1999999999999,142.8,638.0,429.2000000000001,98,Medio,25186.0,23968.0,25119.0,Zona Norte Grande
ARAUCANÍA,TOLTÉN,415.1,46.7,600.9,226.6,326,Bajo,9722.0,11201.0,11916.0,Zona Sur
BIOBÍO,TOMÉ,852.0,158.4,633.0,440.4,90,Medio,54946.0,52654.0,49354.0,Zona Sur
MAGALLANES,TORRES DEL PAINE,659.2,64.0,525.9000000000001,281.0,280,Bajo,1209.0,494.0,382.0,Zona Austral
AYSÉN,TORTEL,583.5,115.4,658.1,353.8,186,Medio bajo,523.0,435.0,440.0,Zona Austral
ARAUCANÍA,TRAIGUÉN,712.0,88.8,679.2,350.2,191,Medio bajo,18843.0,19179.0,20451.0,Zona Sur
BIOBÍO-ÑUBLE,TREGUACO,550.1,27.3,562.6,203.6,334,Bajo,5401.0,5120.0,5663.0,Zona Sur
BIOBÍO,TUCAPEL,814.3000000000001,98.2,636.1,370.6,160,Medio bajo,14134.0,12746.0,11989.0,Zona Sur
LOS RÍOS,VALDIVIA,886.5,252.4,782.5999999999999,559.4,25,Medio alto,166080.0,140520.0,122251.0,Zona Sur
ATACAMA,VALLENAR,846.6,130.5,761.9,438.2,94,Medio,51917.0,48369.0,47267.0,Zona Norte Chico
VALPARAÍSO,VALPARAÍSO,903.0,262.7,739.7,559.8,24,Medio alto,296655.0,274716.0,281447.0,Zona Central
MAULE,VICHUQUÉN,654.0,62.8,641.5999999999999,297.6,259,Medio bajo,4322.0,4786.0,4880.0,Zona Central
ARAUCANÍA,VICTORIA,714.1999999999999,154.0,669.4,419.1,108,Medio,34182.0,33552.0,32830.0,Zona Sur
COQUIMBO,VICUÑA,855.4000000000001,74.0,637.0,342.9,203,Medio bajo,27771.0,23665.0,21303.0,Zona Norte Chico
ARAUCANÍA,VILCÚN,557.8,49.6,659.5999999999999,263.29999999999995,297,Bajo,28151.0,22348.0,20667.0,Zona Sur
MAULE,VILLA ALEGRE,776.2,77.5,560.0,322.90000000000003,226,Medio bajo,16221.0,14628.0,15106.0,Zona Central
VALPARAÍSO,VILLA ALEMANA,933.6,183.7,762.9,507.7000000000001,53,Medio alto,126548.0,95364.0,71204.0,Zona Central
ARAUCANÍA,VILLARRICA,730.0,121.5,784.8000000000001,411.3,118,Medio,55478.0,45436.0,35664.0,Zona Sur
RM,VITACURA,994.6,498.2,900.2,764.1,4,Alto,85384.0,80389.0,77343.0,Zona Central
VALPARAÍSO,VIÑA DEL MAR,916.0,444.7,759.6,676.4,6,Alto,334248.0,285937.0,283383.0,Zona Central
MAULE,YERBAS BUENAS,725.7,60.5,611.5,299.5,255,Medio bajo,18081.0,15960.0,15448.0,Zona Central
BIOBÍO,YUMBEL,676.3000000000001,68.9,649.3,311.6,238,Medio bajo,21198.0,20454.0,20469.0,Zona Sur
BIOBÍO-ÑUBLE,YUNGAY,740.9,93.9,695.3000000000001,364.4,167,Medio bajo,17787.0,16674.0,15172.0,Zona Sur
VALPARAÍSO,ZAPALLAR,858.7,195.9,703.3000000000001,491.0,61,Medio alto,7339.0,5532.0,4368.0,Zona Central
BIOBÍO-ÑUBLE,ÑIQUÉN,661.5,51.4,576.5,269.7,292,Bajo,11152.0,11417.0,12923.0,Zona Sur
RM,ÑUÑOA,968.1,360.1,825.4,660.2,7,Alto,208237.0,162481.0,170093.0,Zona Central
